* Sea-Bird SBE 9 Data File:
* FileName = C:\CTD0412\tee3.dat
* Software Version Seasave Win32 V 5.29a
* Temperature SN = 2475
* Conductivity SN = 1373
* Number of Bytes Per Scan = 24
* Number of Voltage Words = 4
* Number of Scans Averaged by the Deck Unit = 1
        884     22.164     22.000    17.6001   4.439565    3.96636    34.0436     0.0685  1024.7347    1513.89 0.0000e+00
        901     23.174     23.000    17.5836   4.437537    3.96531    34.0406     0.0718  1024.7401    1513.86 0.0000e+00
        917     24.165     24.000    17.5748   4.436759    3.96479    34.0403     0.0751  1024.7468    1513.85 0.0000e+00
        973     25.186     25.000    17.5734   4.436599    3.97072    34.0394     0.0785  1024.7512    1513.86 0.0000e+00
       1012     26.202     26.000    17.5437   4.432978    3.95750    34.0332     0.0819  1024.7578    1513.78 0.0000e+00
       1028     27.199     27.000    17.5243   4.430671    3.92056    34.0297     0.0852  1024.7639    1513.74 0.0000e+00
       1044     28.201     28.000    17.4937   4.426523    3.88336    34.0191     0.0885  1024.7677    1513.65 0.0000e+00
       1064     29.204     29.000    17.2538   4.398411    3.83281    33.9914     0.0918  1024.7981    1512.90 0.0000e+00
       1107     30.220     30.000    17.1578   4.389405    3.76002    33.9817     0.0951  1024.8274    1512.64 0.0000e+00
       1156     31.239     31.000    17.1737   4.391428    3.67307    33.9813     0.0984  1024.8310    1512.71 0.0000e+00
       1178     32.240     32.000    17.0206   4.375229    3.59348    33.9769     0.1017  1024.8627    1512.25 0.0000e+00
       1198     33.241     33.000    16.8993   4.367423    3.54564    34.0063     0.1049  1024.9220    1511.94 0.0000e+00
       1221     34.250     34.000    16.8812   4.367151    3.52092    34.0186     0.1080  1024.9404    1511.92 0.0000e+00
       1248     35.260     35.000    16.8468   4.363360    3.52529    34.0153     0.1112  1024.9496    1511.82 0.0000e+00
       1277     36.269     36.000    16.7567   4.351838    3.55306    33.9905     0.1144  1024.9564    1511.54 0.0000e+00
       1305     37.270     37.000    16.7156   4.348919    3.55151    33.9974     0.1176  1024.9774    1511.44 0.0000e+00
       1352     38.282     38.000    16.6915   4.345865    3.57123    33.9909     0.1207  1024.9824    1511.38 0.0000e+00
       1395     39.302     39.000    16.6403   4.339760    3.55776    33.9832     0.1239  1024.9909    1511.23 0.0000e+00
       1414     40.299     40.000    16.7066   4.350355    3.54660    34.0133     0.1270  1025.0075    1511.49 0.0000e+00
       1433     41.302     41.000    16.7004   4.348585    3.52831    34.0075     0.1302  1025.0052    1511.47 0.0000e+00
       1455     42.308     42.000    16.6890   4.348490    3.50269    34.0157     0.1333  1025.0188    1511.46 0.0000e+00
       1482     43.320     43.000    16.7708   4.359752    3.45398    34.0442     0.1365  1025.0261    1511.76 0.0000e+00
       1509     44.327     44.000    16.8594   4.371632    3.41394    34.0735     0.1396  1025.0313    1512.08 0.0000e+00
       1551     45.332     45.000    16.9013   4.378062    3.34216    34.0916     0.1428  1025.0412    1512.25 0.0000e+00
       1613     46.360     46.000    17.1089   4.408661    3.23550    34.1719     0.1460  1025.0653    1512.99 0.0000e+00
       1628     47.354     47.000    17.0734   4.405220    3.21736    34.1939     0.1490  1025.0780    1512.90 0.0000e+00
       1644     48.361     48.000    17.0956   4.410698    3.19499    34.2115     0.1521  1025.0989    1513.01 0.0000e+00
